query,query_type,label,cluster,pred
what is ohmmeter,DESCRIPTION,0,17,0
observation meaning in urdu,DESCRIPTION,0,17,0
where is portbury,LOCATION,3,0,3
how big is the photo for a profile on twitter,NUMERIC,1,6,1
what county is madison sd,LOCATION,3,0,3
what is the heart in a box,DESCRIPTION,0,17,0
foods that decrease triglycerides,ENTITY,2,7,2
viruses are infectious agents that often causes diseases in plants,ENTITY,2,-1,2
how much does a wedding blessing cost,NUMERIC,1,6,1
which end of a coconut do you plant into the soil,DESCRIPTION,0,-1,0
"where is harrison twp, oh",LOCATION,3,0,3
how long do nits live without a host,NUMERIC,1,6,1
where does missoula get its water from,LOCATION,3,0,3
outlook how to set up conference line,DESCRIPTION,0,17,0
meaning for additive in art,DESCRIPTION,0,17,0
most effective way to prevent infection,DESCRIPTION,0,-1,0
why jfk died,DESCRIPTION,0,-1,0
how to add autofil to word,DESCRIPTION,0,17,0
what does ube mean in jde,DESCRIPTION,0,17,0
highest elevation in oahu,NUMERIC,1,-1,1
air blue customer service number,NUMERIC,1,6,1
why is buddhism religion if there is no god,ENTITY,2,17,0
cost for curb and gutter replacement,NUMERIC,1,6,1
what kind of market model is education in economics,DESCRIPTION,0,17,0
user settings definition,DESCRIPTION,0,17,0
what county is aurora co in?,LOCATION,3,0,3
what does ais stand for in boating,DESCRIPTION,0,17,0
number of children with developmental delays,NUMERIC,1,6,1
aggregate legal definition,DESCRIPTION,0,17,0
who was lynyrd skynyrd named after,PERSON,4,3,4
who is the girl in the trivago commercial,PERSON,4,3,4
average plot size for a 4 bedroom house,NUMERIC,1,6,1
cost of facelifts,NUMERIC,1,6,1
when was the movie blood father made,NUMERIC,1,6,1
who is kiteto shield?,PERSON,4,3,4
what is a tactical pen?,DESCRIPTION,0,17,0
waupaca dumbwaiter,DESCRIPTION,0,-1,0
group policies what can be enforced,DESCRIPTION,0,17,0
what size engine does a ford escape have,NUMERIC,1,-1,1
is candida a bacterial infection,DESCRIPTION,0,17,0
what language is ino se rinda!,ENTITY,2,-1,2
is a substance that contains no active ingredients but is given for its suggestive effects.,DESCRIPTION,0,-1,0
who is barbara murray,PERSON,4,3,4
what is my max contribution to my roth ira,DESCRIPTION,0,-1,0
long day care average cost,NUMERIC,1,6,1
what is the child tax credit under new tax law,DESCRIPTION,0,-1,0
what are carey guides,DESCRIPTION,0,17,0
why is french spoken in mauritius,DESCRIPTION,0,17,0
how to make smoothies ahead of time,DESCRIPTION,0,17,0
what's a synonym for cocoon,DESCRIPTION,0,17,0
what does no cash bar mean,DESCRIPTION,0,17,0
what is the weather in portugal,DESCRIPTION,0,16,0
what is the maximum income that can be earned without penalty while receiving social security,NUMERIC,1,6,1
what's a toupee,DESCRIPTION,0,17,0
can tea help an upset stomach,DESCRIPTION,0,17,0
how old was alexander the great when he died>,NUMERIC,1,6,1
what is the speed of dark,NUMERIC,1,6,1
what's the weather in freehold new jersey,DESCRIPTION,0,-1,0
iq messenger,NUMERIC,1,-1,0
what is knob and tube wiring,DESCRIPTION,0,17,0
what is tsh screen,DESCRIPTION,0,17,0
are okras safe for pregnancy,DESCRIPTION,0,17,0
what is emoting,DESCRIPTION,0,17,0
what is another name for a galvanic cell,DESCRIPTION,0,17,0
average size of dairy farms,NUMERIC,1,6,1
iaw functional missions,DESCRIPTION,0,-1,0
is heritage biological,DESCRIPTION,0,17,0
who wrote my girl by dylan scott,PERSON,4,3,4
what is vitamin c cream good for,DESCRIPTION,0,17,0
what does speed refer to fitness,NUMERIC,1,17,0
what are research approach in quantitative,DESCRIPTION,0,17,0
what does p.s. stand for in a letter,DESCRIPTION,0,17,0
airport taxi mpls phone number,NUMERIC,1,6,1
is tramadol effective for dogs,DESCRIPTION,0,17,0
what is smart recovery pdf,DESCRIPTION,0,17,0
borg perceived exertion scale,DESCRIPTION,0,-1,1
how do you split tion into sounds,DESCRIPTION,0,17,0
when does the movie wonder get released,NUMERIC,1,6,1
definition of aversive,DESCRIPTION,0,17,0
how to manually install windows rt,DESCRIPTION,0,17,0
what state is the city of springfield in,LOCATION,3,0,3
what does crew mean,DESCRIPTION,0,17,0
what is the laboratory room for electronic students,DESCRIPTION,0,-1,0
history of the dollar sign symbol,DESCRIPTION,0,-1,0
what rocky movie did adrian die?,ENTITY,2,-1,2
between what ages does testicular cancer most frequently occur?,NUMERIC,1,-1,1
does everybody who have mental health issues are able to get counseling in prison,DESCRIPTION,0,-1,0
where is the cheapest place to live in the usa,LOCATION,3,0,3
how to get a command block in minecraft 1.9.2,DESCRIPTION,0,17,0
how long does it take for fertilization after ovulation,NUMERIC,1,6,1
which action did japan take during the meiji restoration,DESCRIPTION,0,-1,0
population leon county,LOCATION,3,-1,1
where is the setting of eyes?,LOCATION,3,0,3
how can we test flexibility,DESCRIPTION,0,17,0
how much cost jet pizza franchise?,NUMERIC,1,6,1
entry level management definition,DESCRIPTION,0,17,0
how long can a milk tea sit out?,NUMERIC,1,6,1
what is sofie dossi,DESCRIPTION,0,17,0
what is basic engineering,DESCRIPTION,0,17,0
american pie chords,DESCRIPTION,0,-1,0
what is the smallest town in vermont,LOCATION,3,0,3
what is a .dic,DESCRIPTION,0,17,0
how long does it take to breastfeed,NUMERIC,1,6,1
how long train ride from toronto to vancouver,NUMERIC,1,6,1
what is the highest amount an advertising manager makes,PERSON,4,6,1
what is an actuators,DESCRIPTION,0,17,0
what are the major land features of bulgaria,DESCRIPTION,0,-1,2
average temps for prescott az,NUMERIC,1,6,1
how to increase synthroid dosage,DESCRIPTION,0,17,0
what is the main source that give stars energy,ENTITY,2,-1,2
who is senator cotton,PERSON,4,3,4
are acai berries an antioxidant,DESCRIPTION,0,17,0
what is the main sector in the midwest,DESCRIPTION,0,-1,0
does home owners insurance cover mold,DESCRIPTION,0,-1,0
what type of blood work shows inflammation,ENTITY,2,-1,0
normal range of movement of shoulders,NUMERIC,1,-1,1
guild definition,DESCRIPTION,0,17,0
how to tell positive or negative earth on a car battery,DESCRIPTION,0,17,0
most beautiful places in israel,LOCATION,3,-1,3
what is the free fall acceleration on planet x,DESCRIPTION,0,-1,0
meaning of the name Rodney,DESCRIPTION,0,17,0
what is the farthest distance in the universe,NUMERIC,1,6,1
unit level economics definition,DESCRIPTION,0,17,0
why did packard quit making cars,DESCRIPTION,0,17,0
what is the carpus and tarsus,DESCRIPTION,0,17,0
what is a juul,DESCRIPTION,0,17,0
john deere difference between D or LT series,DESCRIPTION,0,-1,0
time warner cable how to block calls,DESCRIPTION,0,17,0
cooking time for baking pork,NUMERIC,1,6,1
how many pay periods for semi-monthly,NUMERIC,1,6,1
"population of inyo county, ca",NUMERIC,1,6,1
russia definition,DESCRIPTION,0,-1,0
what size is the center hole of a lp,NUMERIC,1,6,1
when was window glass invented,NUMERIC,1,6,1
who plays dr kens sister on dr ken,PERSON,4,3,4
cost of room and board at a nursing care center,NUMERIC,1,6,1
what size boards should i use for a vaulted ceiling,NUMERIC,1,-1,1
impersonally definition,DESCRIPTION,0,17,0
where lord of the rings filmed,LOCATION,3,0,3
what is the treatment for anaphylactic shock,ENTITY,2,17,0
what is sensuality mean,DESCRIPTION,0,17,0
how much data can a usb hold,NUMERIC,1,6,1
"what county is harveysburg, oh in",LOCATION,3,0,3
what was the job of the cabinet,DESCRIPTION,0,-1,0
how can i burst a stye,DESCRIPTION,0,17,0
how does jon cryer have a net worth larger than charlie sheen,DESCRIPTION,0,-1,0
which property is expressed in units of hertz,LOCATION,3,-1,0
what is siriusxm,DESCRIPTION,0,-1,0
what is anomie,DESCRIPTION,0,17,0
how to do side planks,DESCRIPTION,0,17,0
what makes a rock an agate,DESCRIPTION,0,17,0
list of medicines not to take when eating grapefruit,ENTITY,2,-1,2
how to cook in a pressure cooker XL,DESCRIPTION,0,17,0
difference between continental congress and confederation congress,DESCRIPTION,0,-1,0
what is enterprise training,DESCRIPTION,0,17,0
how to configure xbox controller for nulldc,DESCRIPTION,0,17,0
which type of t cell is responsible for attacking infected host cells?,DESCRIPTION,0,-1,0
refined carbs wine,ENTITY,2,-1,2
what is the county for nova ohio,LOCATION,3,0,3
constitutional question definition,DESCRIPTION,0,17,0
what type of device forms images through refraction,DESCRIPTION,0,-1,0
who is dennis rainey,PERSON,4,3,4
how to study for the fcca,DESCRIPTION,0,17,0
how does stress affect students in school,DESCRIPTION,0,17,0
what county is gravette ar,LOCATION,3,0,3
define heptagon,DESCRIPTION,0,17,0
what is viewpoint,DESCRIPTION,0,17,0
berberine supplements walmart,ENTITY,2,-1,2
what does asymptomatic immunodeficiency mean,DESCRIPTION,0,17,0
what patients get a medicare immediate message from medicare,DESCRIPTION,0,-1,2
what is the annual salary for secretary of hud,NUMERIC,1,6,1
what do we measure without error,DESCRIPTION,0,17,0
what is tube alloy,DESCRIPTION,0,17,0
how much school to become an x ray technician,NUMERIC,1,6,1
how to copy excel worksheet to another file,DESCRIPTION,0,17,0
how much is it to renew your passport?,NUMERIC,1,6,1
"what body part does gases ,such as oxygen and carbon dioxide ,pass into or out of the air",DESCRIPTION,0,-1,2
what is a current inactive real estate license,DESCRIPTION,0,-1,0
how do you pronounce antigua,DESCRIPTION,0,17,0
is hestia a maiden goddess,DESCRIPTION,0,-1,0
what are gooseberries,DESCRIPTION,0,17,2
what is a homophone for coarse,DESCRIPTION,0,17,0
what is the degree you leave with after attending culinary school,DESCRIPTION,0,-1,0
what is the purpose of a linear array in descriptive essay,DESCRIPTION,0,17,0
in what way is the table of the elements periodic?,DESCRIPTION,0,-1,0
the meaning of menominee,DESCRIPTION,0,17,0
what ion is potassium mostly likely to form in a compound?,ENTITY,2,-1,2
average cost to pressure wash a deck,NUMERIC,1,6,1
what is daypro used for,DESCRIPTION,0,17,0
what is tea tree oil used for?,ENTITY,2,17,0
when was ps2 released in usa,NUMERIC,1,6,1
what is the official state of iowa's butterfly,LOCATION,3,0,3
what is a flight controller,DESCRIPTION,0,17,0
does bacterial dna have histones,DESCRIPTION,0,17,0
what is transportation performance management(tpm,DESCRIPTION,0,17,0
what does rae mean,DESCRIPTION,0,17,0
what origin tapia,DESCRIPTION,0,-1,0
what causes film creasing during folding process,DESCRIPTION,0,17,0
what years were the renaissance in europe,NUMERIC,1,6,1
who was the marshall plan named after,PERSON,4,3,4
medical abbreviation DTI,DESCRIPTION,0,-1,0
how much do medical assistants make at mclaren lansing,NUMERIC,1,6,1
do  ulcers cause diarrhea,DESCRIPTION,0,17,0
why is makkah called haram,DESCRIPTION,0,17,0
who is jada pinkett smith in gotham,PERSON,4,3,4
what is cardioversion elective arrhythmia external,DESCRIPTION,0,17,0
a list of katy perry songs,ENTITY,2,-1,2
wall tiling cost,NUMERIC,1,6,1
what's the difference between xopenex and albuterol,DESCRIPTION,0,17,0
is mucus bad,DESCRIPTION,0,17,0
what is a carbuncle boil,DESCRIPTION,0,17,0
how to make pear tart,DESCRIPTION,0,17,0
what is jicama vegetable,ENTITY,2,17,0
what is routing number for becu,NUMERIC,1,6,1
learning how to play badminton,DESCRIPTION,0,-1,0
what are improved varieties of hard fescue,ENTITY,2,-1,2
what is a digital phone line,DESCRIPTION,0,17,0
how steep is the great pyramid,NUMERIC,1,6,1
how old is ababu namwamba,NUMERIC,1,6,1
was bts jin part of exo,DESCRIPTION,0,17,0
what is an omnibus vehicle,DESCRIPTION,0,17,0
where is is kidzania sentosa,LOCATION,3,0,3
the organelle that is a major producer of atp and is found,ENTITY,2,-1,2
what type of resolution requires approval by both houses and a presidential signature?,DESCRIPTION,0,-1,0
can a witness go to jail,DESCRIPTION,0,17,0
symptoms of fluid in the lungs,ENTITY,2,10,2
average cost per square foot to have ceiling grid installed,NUMERIC,1,6,1
how many people speak persian,NUMERIC,1,6,1
how much do equine reiki therapists earn,NUMERIC,1,6,1
what are porcelain crowns made out of,ENTITY,2,-1,2
what is chlorophyte,DESCRIPTION,0,17,0
how popular is the name aurelie,NUMERIC,1,-1,0
what is dfars compliant,DESCRIPTION,0,17,0
foods to improve estrogen levels,ENTITY,2,7,2
where is the republic of panama?,LOCATION,3,0,3
how to get carrots to germinate,DESCRIPTION,0,17,0
how safe is italy for americans,DESCRIPTION,0,-1,0
what supplements should i take while trying to conceive,ENTITY,2,-1,2
define cat's pajamas,DESCRIPTION,0,17,0
what does dpi mean for a gaming mouse,DESCRIPTION,0,17,0
why only sometimes crystal change sense of smell,DESCRIPTION,0,17,0
cause of athenian adoption of direct democracy,DESCRIPTION,0,-1,0
can am speedway,DESCRIPTION,0,-1,0
different types of composite shingle roofs,DESCRIPTION,0,-1,0
meaning of name valeria,DESCRIPTION,0,17,0
what is epcam,DESCRIPTION,0,17,0
what is federated sso protocol,DESCRIPTION,0,17,0
how many people were at the boston tea party,NUMERIC,1,6,1
is a trachea an organ,DESCRIPTION,0,17,0
what county is paris crossing in in indiana,LOCATION,3,0,3
how far is cape town to tanzania,NUMERIC,1,6,1
how long is a term of president of usa.,NUMERIC,1,6,1
outsource definition business,DESCRIPTION,0,17,0
what is communism often associated with,DESCRIPTION,0,17,0
what was the purpose of the espionage act,DESCRIPTION,0,17,0
what is the application process for including father's name on birth certificate in st vincent,DESCRIPTION,0,17,0
how long is a day cycle eso,NUMERIC,1,6,1
who painted the watchman,PERSON,4,3,4
age demographic that uses linkedin,NUMERIC,1,-1,1
what is the last price,NUMERIC,1,6,1
what is ieee?,DESCRIPTION,0,17,0
how many feet in a acre perimeter,NUMERIC,1,6,1
what's the nutritional facts about kiwi?,ENTITY,2,-1,0
why do chipmunks chirp,DESCRIPTION,0,17,0
can an expired lease agreement be deemed as current,DESCRIPTION,0,17,0
bottom medical definition,DESCRIPTION,0,-1,0
average price for home appraisal,NUMERIC,1,6,1
dosage for tramadol 50 mg for dogs,ENTITY,2,-1,1
what island was fools gold filmed,LOCATION,3,0,3
oval intramural,DESCRIPTION,0,-1,0
what dna sequences codes for methionine,DESCRIPTION,0,-1,2
how many species of chameleons,NUMERIC,1,6,1
where is beckham creek cave,LOCATION,3,0,3
what catalyzes the reaction of dna replication,DESCRIPTION,0,-1,0
how to screenshot on a pc and turn to pdf,DESCRIPTION,0,17,0
what does the word and mean in math,DESCRIPTION,0,17,0
what are the crumple zones,DESCRIPTION,0,17,0
nike share price,NUMERIC,1,6,1
is the fa20 engine fitted to the 2015 subaru wrx sti,ENTITY,2,-1,0
definition of pidgin language examples,DESCRIPTION,0,17,0
how much does a lod make at target,NUMERIC,1,6,1
what is adequate statistical power,DESCRIPTION,0,17,0
callaway epic driver release date,NUMERIC,1,-1,1
what is an economic sector,DESCRIPTION,0,17,0
what is refined salt,DESCRIPTION,0,17,0
who owns trump tower new york,PERSON,4,3,4
did that head transplant guy get a body,DESCRIPTION,0,-1,0
where is east lawrencetown,LOCATION,3,0,3
phone number for lincare of knoxville tn,NUMERIC,1,6,1
how soon is pregnancy detected in blood,NUMERIC,1,6,1
what type of beer is tecate,ENTITY,2,-1,2
is foxit legit,DESCRIPTION,0,17,0
what was the foodborne illness for jack in the box,ENTITY,2,-1,2
average design manager salary,NUMERIC,1,6,1
when did the measles vaccine come out,NUMERIC,1,6,1
taxi service at amtrak bwi,NUMERIC,1,-1,1
what is an rna,DESCRIPTION,0,17,0
is there an alternative for the solution used before a colonoscopy,DESCRIPTION,0,17,0
definition of phlagerism,DESCRIPTION,0,17,0
what is a greek dessert,ENTITY,2,17,0
what organs do gas,DESCRIPTION,0,-1,0
synonym for contagious laugh,DESCRIPTION,0,-1,0
annual average mileage usda,NUMERIC,1,6,1
who is steven sevilla,PERSON,4,3,4
how long does an individual have to elect coverage on cobra,NUMERIC,1,6,1
difference between a concert and soprano ukulele,DESCRIPTION,0,-1,0
what is my michigan named after,DESCRIPTION,0,-1,2
what is the salary of the governor of ms,NUMERIC,1,6,1
how long does fmla hold your job,NUMERIC,1,6,1
cost of attendance at ouachita baptist university,NUMERIC,1,6,1
when is commercial cod season,NUMERIC,1,6,1
"what was the unemployment rate, during the great depression?",NUMERIC,1,6,1
what time zone is chicago il in,LOCATION,3,0,3
disease simulation,ENTITY,2,-1,0
most famous female movie characters,ENTITY,2,-1,4
how wide is a full size box spring,NUMERIC,1,6,1
how many gift cards overstock,NUMERIC,1,6,1
how big can tuna get,NUMERIC,1,6,1
great depression where did it happen,LOCATION,3,0,3
what is trounce insecticide,DESCRIPTION,0,17,0
how many hours is considered part time in graduate school fafsa,NUMERIC,1,6,1
pharmacokinetics and pharmacodynamics definition,DESCRIPTION,0,17,0
what's in homemade gelato,DESCRIPTION,0,-1,2
what is the average life span of a labrador?,NUMERIC,1,6,1
what is an infraction?,DESCRIPTION,0,17,0
role of vitamins and minerals,DESCRIPTION,0,-1,0
what amino acids are in bing cherries,ENTITY,2,-1,2
ambulatory legal definition,DESCRIPTION,0,17,0
what was the impact of the treaty of versailles on germany physically,DESCRIPTION,0,-1,0
what is considered alcohol poisoning,DESCRIPTION,0,-1,0
what is your strongest muscle,ENTITY,2,-1,0
how much does a respiratory therapist make with a masters degree,NUMERIC,1,6,1
how much to charge to do a brochure,NUMERIC,1,6,1
which is the correct term used to describe the transportation of personnel with potentially life threatening injuries,DESCRIPTION,0,-1,0
when do passports need to be renewed,NUMERIC,1,6,1
how much does a mental health technician make,NUMERIC,1,6,1
intermolecular forces in plasma,DESCRIPTION,0,-1,0
what is meant by chemical property,DESCRIPTION,0,17,0
how much does it cost to fix a garage spring for a single door,NUMERIC,1,6,1
fastest cars and their top speed,NUMERIC,1,-1,1
how much sugar equals half a cup of honey,NUMERIC,1,6,1
how many episodes of the waltons were made,NUMERIC,1,6,1
what is the closest beach to orlando,LOCATION,3,0,3
michael dudikoff net worth,NUMERIC,1,6,1
where is treasure island in florida?,LOCATION,3,0,3
can you carry a concealed weapon in nashville,DESCRIPTION,0,17,0
how long can a quahog live,NUMERIC,1,6,1
what is the spoils s,DESCRIPTION,0,17,0
what is the relationship between yucca moths and yucca trees,ENTITY,2,17,0
limits synonyms,DESCRIPTION,0,17,0
causes of a resting tremor,DESCRIPTION,0,18,0
how much does it cost to make a 3d product in ireland,NUMERIC,1,6,1
cbssports mlb free agency ranking 2016,PERSON,4,-1,1
what are serious side effects of invokana,DESCRIPTION,0,17,0
how many rounds in baseball draft,NUMERIC,1,6,1
yo apoyo pku what does it mean,DESCRIPTION,0,-1,0
who is the clown in saw,PERSON,4,3,4
what is a whiskey sour,DESCRIPTION,0,17,0
papaya during pregnancy first trimester,DESCRIPTION,0,-1,0
what is an example of a planned unit development,DESCRIPTION,0,17,0
who is donald,PERSON,4,3,4
fresh blackberry brands,DESCRIPTION,0,-1,2
how dechaching  pressure on fire extinguish,NUMERIC,1,-1,1
does a 2013 hd trike have the etims system,DESCRIPTION,0,17,0
time difference south africa to france,DESCRIPTION,0,-1,0
what does vegimite smell like,DESCRIPTION,0,17,0
what are rigged things on roof of mouth,DESCRIPTION,0,17,0
how many milligrams of salt in teaspoon,NUMERIC,1,6,1
what weather is august,DESCRIPTION,0,-1,2
how long to boil zucchini linguine,NUMERIC,1,6,1
fallout shelter how to survive an ambush,DESCRIPTION,0,17,0
how long do cucumbers for pickling last,NUMERIC,1,6,1
which vessels carries blood from the lungs to the heart,DESCRIPTION,0,-1,0
ending salary for sales associate dollar general,NUMERIC,1,6,1
what is limited by binding constraints,DESCRIPTION,0,17,0
what isolation is used for rsv in healthcare,DESCRIPTION,0,-1,0
how many stores is walgreens closing,NUMERIC,1,6,1
what dose is effexor available,ENTITY,2,6,1
what is resolute onyx,DESCRIPTION,0,17,0
what kind of music is marilyn manson,ENTITY,2,-1,2
nutmeg expression origin,DESCRIPTION,0,-1,0
what is an eels habitat like in a creek,DESCRIPTION,0,17,0
where is my wireless switch on my laptop?,DESCRIPTION,0,0,3
average precipitation of arctic tundra,NUMERIC,1,6,1
controlling behavior,DESCRIPTION,0,17,0
minecraft how to spawn giant slime,DESCRIPTION,0,17,0
what island does lilo live on,LOCATION,3,0,3
is furm-built llc a corporation,DESCRIPTION,0,17,0
what  tattoo machines does paul booth use,ENTITY,2,-1,2
is glycerol sticky,DESCRIPTION,0,17,0
neurological surgeon average salary,NUMERIC,1,6,1
where do they depart from in dil dhadakne do cruise,LOCATION,3,0,3
what are the effects of beer,DESCRIPTION,0,17,0
what is planet ida?,ENTITY,2,-1,2
how do i update from ie8 to ie11 for windows 7,DESCRIPTION,0,17,0
what does adverbial phrase mean,DESCRIPTION,0,17,0
what are mandarin radicals,DESCRIPTION,0,17,0
what foods or herbs help to lower blood sugar,ENTITY,2,-1,2
what is a localized vascular lesion,DESCRIPTION,0,17,0
when was the original candy wafer created,NUMERIC,1,6,1
santa maria is in what county,LOCATION,3,0,3
where is malacath skyrim,LOCATION,3,0,3
how long does a multi academy trust conversion take,NUMERIC,1,6,1
how much does a butler earn,NUMERIC,1,6,1
what do you need for robot operator,DESCRIPTION,0,17,0
are azeris muslim,DESCRIPTION,0,-1,0
how to calculate net mineral acres,DESCRIPTION,0,17,0
why are the new zealand flag stars red,DESCRIPTION,0,17,0
average starting salary for physical therapy,NUMERIC,1,6,1
what is chrome leather,DESCRIPTION,0,17,0
what type of dog is the gentle leader best for,ENTITY,2,-1,2
height of exterior of two story house,NUMERIC,1,6,1
how many ceus for acls,NUMERIC,1,6,1
biggest places in the world,LOCATION,3,0,3
what is microadenoma,DESCRIPTION,0,17,0
who the first users of atms,PERSON,4,3,4
"what county is roscoe, il",LOCATION,3,0,3
what does the sydney harbour bridge do,DESCRIPTION,0,17,0
what nationality is the name luka dominiak,PERSON,4,-1,4
dragon support number,NUMERIC,1,6,1
the receptor potential is generated at the ______,DESCRIPTION,0,-1,0
does objective c have a garbage collector,DESCRIPTION,0,17,0
morning nose bleeds causes,DESCRIPTION,0,-1,0
what is the hottest month in seattle,NUMERIC,1,-1,1
calculating driveway gravel cubic yards,DESCRIPTION,0,-1,0
what are cmos,DESCRIPTION,0,17,0
symptoms of food intolerances,ENTITY,2,10,2
how to cite a source taken from the jacket of a book,DESCRIPTION,0,17,0
what is rupatadine,DESCRIPTION,0,17,0
what. is. hospice,DESCRIPTION,0,17,0
how far is the blue lagoon from the jamaica cruise port?,NUMERIC,1,6,1
what kind of math is on the accuplacer,DESCRIPTION,0,17,0
what is considered a function in excel,DESCRIPTION,0,17,0
is caffeine a gastric irritant,DESCRIPTION,0,17,0
whiskey is made from what,DESCRIPTION,0,-1,2
nutmeg as recreational drug in food,DESCRIPTION,0,-1,2
what kind of muscle is the orbicularis oculi and orbicularis oris muscle in terms of function,DESCRIPTION,0,-1,0
what is a normal troponin range,NUMERIC,1,-1,1
why does halley's comet appear when it does,NUMERIC,1,17,0
What does being a stadium name sponsor imply for businesses? quizlet,DESCRIPTION,0,-1,0
sampling science definition,DESCRIPTION,0,17,0
lg phone manufacturer customer service number,NUMERIC,1,6,1
what is the hawaiian name for the name nickerson,ENTITY,2,-1,2
It was not until ____________ that the Society for the Prevention of Cruelty to Children was formed on the model of the ____________: course hero,DESCRIPTION,0,-1,3
cooking pavlova no heat,DESCRIPTION,0,-1,0
weather in dublin in january,DESCRIPTION,0,5,0
what is health problem related to miralax,DESCRIPTION,0,17,0
how many minutes does asparagus cook for on a bbq,NUMERIC,1,6,1
age cutoff for health insurance,NUMERIC,1,-1,1
how many seats are on a charter bus,NUMERIC,1,6,1
